Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-05/10/2015
Datum: 05/10/2015
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B33F0133,001,33FP0133,210400,473366,650,,702,-6750,-7000,1989/12/14,1995/10/23
B33F0133,001,33FP0133,210400,473366,650,,714,-6750,-7000,1995/10/23,2011/01/18

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B33F0133,001,2006/02/12 00:00:00,389,
B33F0133,001,2006/02/13 00:00:00,388,
B33F0133,001,2006/02/14 00:00:00,386,
B33F0133,001,2006/02/15 00:00:00,382,
B33F0133,001,2006/02/16 00:00:00,382,
B33F0133,001,2006/02/17 00:00:00,381,
B33F0133,001,2006/02/18 00:00:00,383,
B33F0133,001,2006/02/19 00:00:00,381,
B33F0133,001,2006/02/20 00:00:00,382,
B33F0133,001,2006/02/21 00:00:00,382,
B33F0133,001,2006/02/22 00:00:00,383,
B33F0133,001,2006/02/23 00:00:00,381,
B33F0133,001,2006/02/24 00:00:00,380,
B33F0133,001,2006/02/25 00:00:00,381,
B33F0133,001,2006/02/26 00:00:00,382,
B33F0133,001,2006/02/27 00:00:00,384,
B33F0133,001,2006/02/28 00:00:00,383,
B33F0133,001,2006/03/01 00:00:00,383,
B33F0133,001,2006/03/02 00:00:00,384,
B33F0133,001,2006/03/03 00:00:00,383,
B33F0133,001,2006/03/04 00:00:00,382,
B33F0133,001,2006/03/05 00:00:00,382,
B33F0133,001,2006/03/06 00:00:00,384,
B33F0133,001,2006/03/07 00:00:00,388,
B33F0133,001,2006/03/08 00:00:00,388,
B33F0133,001,2006/03/09 00:00:00,387,
B33F0133,001,2006/03/10 00:00:00,385,
B33F0133,001,2006/03/11 00:00:00,387,
B33F0133,001,2006/03/12 00:00:00,388,
B33F0133,001,2006/03/13 00:00:00,388,
B33F0133,001,2006/03/14 00:00:00,386,
B33F0133,001,2006/03/15 00:00:00,388,
B33F0133,001,2006/03/16 00:00:00,388,
B33F0133,001,2006/03/17 00:00:00,388,
B33F0133,001,2006/03/18 00:00:00,387,
B33F0133,001,2006/03/19 00:00:00,388,
B33F0133,001,2006/03/20 00:00:00,391,
B33F0133,001,2006/03/21 00:00:00,391,
B33F0133,001,2006/03/22 00:00:00,390,
B33F0133,001,2006/03/23 00:00:00,394,
B33F0133,001,2006/03/24 00:00:00,392,
B33F0133,001,2006/03/25 00:00:00,394,
B33F0133,001,2006/03/26 00:00:00,393,
B33F0133,001,2006/03/27 00:00:00,391,
B33F0133,001,2006/03/28 00:00:00,392,
B33F0133,001,2006/03/29 00:00:00,393,
B33F0133,001,2006/03/30 00:00:00,389,
B33F0133,001,2006/03/31 00:00:00,390,
B33F0133,001,2006/04/01 00:00:00,387,
B33F0133,001,2006/04/02 00:00:00,383,
B33F0133,001,2006/04/03 00:00:00,384,
B33F0133,001,2006/04/04 00:00:00,383,
B33F0133,001,2006/04/05 00:00:00,382,
B33F0133,001,2006/04/06 00:00:00,384,
B33F0133,001,2006/04/07 00:00:00,386,
B33F0133,001,2006/04/08 00:00:00,384,
B33F0133,001,2006/04/09 00:00:00,386,
B33F0133,001,2006/04/10 00:00:00,389,
B33F0133,001,2006/04/11 00:00:00,390,
B33F0133,001,2006/04/12 00:00:00,391,
B33F0133,001,2006/04/13 00:00:00,390,
B33F0133,001,2006/04/14 00:00:00,390,
B33F0133,001,2006/04/15 00:00:00,390,
B33F0133,001,2006/04/16 00:00:00,388,
B33F0133,001,2006/04/17 00:00:00,386,
B33F0133,001,2006/04/18 00:00:00,386,
B33F0133,001,2006/04/19 00:00:00,389,
B33F0133,001,2006/04/20 00:00:00,394,
B33F0133,001,2006/04/21 00:00:00,396,
B33F0133,001,2006/04/22 00:00:00,394,
B33F0133,001,2006/04/23 00:00:00,393,
B33F0133,001,2006/04/24 00:00:00,393,
B33F0133,001,2006/04/25 00:00:00,393,
B33F0133,001,2006/04/26 00:00:00,396,
B33F0133,001,2006/04/27 00:00:00,396,
B33F0133,001,2006/04/28 00:00:00,396,
B33F0133,001,2006/04/29 00:00:00,392,
B33F0133,001,2006/04/30 00:00:00,387,
B33F0133,001,2006/05/01 00:00:00,387,
B33F0133,001,2006/05/02 00:00:00,389,
B33F0133,001,2006/05/03 00:00:00,391,
